Name,Message,TimeInSeconds
Lakesha X.,okay im actually interested rn,4676
Melanie G.,me too,4690
Ayo R.,oh no my credit card is in the other room,4691
Lilian Z.,def fr,4705
Destiny L.,this is where i'm gonna retire fr,4713
Charles U.,yeah dude,4724
Crystal L.,is this actually real lol,4737
Breanna J.,how long until i actually see stuff?,4739
Blessing Z.,im out of the rat race,4779
Jazmine V.,can i sign up with paypal?,4782
Chelsea O.,lets go!!!,4784
Samantha H.,i wanna sell my old comics online,4786
Diamond N.,yeah like 30 min he said,4786
Toni T.,where??,4791
Joy G.,thank you,4805
Blessing J.,did someone say they get a call,4817
David F.,great stuff thanks,4824
Thomas W.,where is the link omg,4827
Modupe N.,he is def a real dude,4828
Lisa D.,thanks so much,4832
Chelsea K.,where is the the link he said?,4847
Blessing Z.,where do we sign up btw,4860
David G.,no hes doing it with us,4879
Talia R.,wow hes gonna show us the whole thing,4880
Talia W.,i just wanna sell stuff,4883
Krystal K.,not pushy and calm,4888
Destiny D.,i wanna run a ghost writing biz with a.i. is this poss,4903
Ese X.,im a single mom and this changes everything wow,4909
Alexandria B.,this is the best product ive seen,4946
Tara D.,not a guru bs,4950
Kirsten I.,are you ready lads,4962
Kiara X.,i feel like i'm gonna pass out,4974
Breanna Q.,where is it all explained again??,4975
Alexis E.,he said limited time is it true?,4991
Kierra U.,amazing im in!,4993
Brianna M.,he is def confident,4997
John E.,this is fire,4999
Daniel W.,30 min?! ahhh,5006
Felicia O.,i need to make a life change asap,5011
Diamond P.,im getting paid,5015
Kenya I.,it can change our lives!!!,5016
David R.,done getting it!,5019
Kierra K.,awesome,5025
David C.,i am in,5032
David I.,this is what i need rn,5033
James F.,finally dude,5040
Michael Z.,time to change,5043
Brandi H.,help a brotha out with the link,5052
Anita B.,that's a good sign frfr,5060
Haven U.,wow i gotta run,5063
Ese I.,i had a bad experience with voice cloning,5069
Amanda Y.,why should i choose this over others,5082
Amanda U.,i might have missed it,5105
Matthew G.,this can change my life,5105
Chelsea Z.,no more empty promises please,5110
Latrice J.,link please,5118
Blessing U.,at the bottom or something??,5118
Anthony J.,he will say the same stuff next week too lol,5128
Ayo G.,i am tired of the same old bs,5129
Jada A.,okay let's change everything,5129
Veronica Z.,lol im gonna do it on the job,5155
James P.,the pain of regret is the worse than risk,5181
Amanda X.,please let this be real,5197
Kierra I.,wow this is intense guys,5212
Hauwa L.,finally legit stuff dude,5218
Grace Q.,my brain hurts,5221
Charles H.,i know this happens in all webinars,5227
Brittany L.,my kids need me lol byeeee,5229
Felicia U.,no scam,5231
Haven O.,what's the bonus again?,5232
Hauwa R.,what do u think?,5246
Carolyn N.,this is swim time for me,5247
Tara J.,okay im in also,5247
Kierra F.,so real dude,5250
Kendra C.,do i get support for this?,5252
Lisa V.,wow thats a lot,5253
Erica O.,he said it sounds so good i bet it does,5262
Krystal F.,he has the receipts lets goo,5273
Destiny Z.,omg,5290
Angelica J.,i have been in the ditch for too long bruh,5313
Haven F.,credit card lets go,5322
Krystal X.,thank you ben,5335
Sierra Q.,thanks so much!,5338
Crystal H.,where the chat be at lmao,5340
Kayla S.,wait so the a.i. writes and also posts???,5349
Kendra H.,we get all the upgrades too??,5363
Talia U.,all these questions running thru my mind its too much,5369
Stephanie M.,true,5383
Matthew S.,the a.i. finds influencers too???,5391
Dominique V.,let us know if you are pulling the trigger!!!,5417
Felicia O.,i keep missing it,5421
Tara D.,i wanna travel in peace so i think it's it,5427
Hauwa G.,im trying,5428
Stephanie U.,ahh,5429
Modupe P.,oh my god,5441
John F.,i dont wanna work at wendys anymore,5450
Kierra C.,we all gotta change our life right,5454
Stephanie O.,it sounds insane man,5460
Matthew Z.,is this legit even,5473
Ashley P.,see ya dude byeeee,5476
Chelsea K.,okay i'm gonna get it,5509
Shantel H.,the voice cloning i gotta see,5517
Lakesha J.,what if it takes all my money,5518
Dominique C.,im so ready lets goooo,5526
Alexandria F.,im gonna see what comes up,5538
Kiara X.,i thought it was just a sales pitch,5552
Shayla E.,do i need to buy ads?,5560
Kiara B.,all the fake a.i. clones sound so robotic,5571
William J.,me too!,5577
Nicole E.,wow that was great,5583
Crystal Q.,to the moon lads,5609
Lisa O.,i think its pinned to the top,5630
Alexandria C.,fr???,5694
Jazmine I.,i trust this guy so far,5701
Samantha J.,we are gonna retire lol,5702
Shayla R.,im so scared rn,5705
Brianna Y.,ok im ready for 100k accts,5724
Rhonda H.,greg you didnt think the same as me?,5727
Breanna H.,i think i need another cup of coffee,5728
Shayla X.,i wanna scale my jewelry biz,5730
Joseph L.,so good wow,5749
Latoya T.,thank you i cant wait to get started!!!,5769
Amanda B.,i am ready,5784
Brandi F.,no recurring costs wow,5787
John P.,it said only the first 50 get ben's affiliate training,5803
Ayo M.,so its basically a franchise without the franchise fee?,5805
Ayo D.,this seems like a no brainer at this price,5810
Kendra S.,this feels like a scam haha i hope it works,5812
Tiffany Q.,do i have to have my own domain?,5814
Haven K.,alright folks click that link,5818
Anita L.,okay im in thanks ben so pumped,5831
Chelsea N.,so what is the offer,5845
Amanda D.,so what are we doing now,5849
James T.,its like my dreams are finally coming true,5860
Kiara Q.,all this stuff for literally nothing,5865
Felicia W.,ready to work from home yass,5867
Latoya H.,thank you ben you are amazing wow!!,5868
Kiara J.,all thanks to you ben,5875
Ashley W.,who else is nervous and excited lol,5876
Thomas I.,so who else just upgraded lol,5877
Tara H.,just paid lets goooooo,5880
Brooke H.,paid lets do this!!!,5882
Crystal L.,wow only a two hundred sixty seven one time payment?,5884
Joseph J.,just bought im ready,5887
Rhonda D.,all set lets goooo,5891
Anita Q.,im so happy i found this today thank you,5891
Dominique Y.,just paid,5899
Erica Y.,i feel like im stealing,5904
Jazmine G.,thanks this is a gift,5910
Thomas Y.,where is the discount code again i missed it,5910
Latoya L.,i cant believe its not a monthly fee,5933
Jazmine Y.,paid mega bundle let's goo,5952
Chelsea F.,wow okay this is insane what a steal,5967
Latrice F.,awesome thank you!!!,5977
Daniel K.,cant beat this price thats for sure,5989
Jazmine U.,thank you thank you,6005
Erica Q.,lets gooo just pulled the trigger,6009
Sierra Q.,it even makes the content too wow,6025
Melanie I.,thanks ben this is worth it,6040
Latoya O.,this is truly next level,6048
Michelle G.,paid!,6048
Olivia Y.,paid here we go,6049
Stephanie T.,my mind is blown,6050
Kendra V.,my life has changed,6052
Kirsten R.,i dont want to work anymore,6060
Michelle S.,just in time wow,6062
Jasmine R.,cant wait to spend more time with my family wow!,6072
Haven Y.,i was hoping the price wouldnt be too crazy,6078
Brianna R.,paid this will change everything,6079
Breanna E.,this seems way better than buffer,6088
Fatimah P.,paid!!!,6101
Jada Q.,this is an insane deal wow wow,6122
Kayla I.,just upgraded this will be so awesome,6124
Kenya L.,what if i want to sell this to local biz?,6128
Robert B.,did i hear him right? does it auto-post?,6137
Krystal T.,yes!,6140
Shayla N.,finally no more manual posting,6143
Grace U.,mega bundle lets goooo,6145
Joseph N.,its like 5 apps in one or even more,6154
Diamond R.,benjamin please slow down hahaha,6155
Kiara N.,this is insane what a deal wow,6162
Brandi H.,im still confused about that mega bundle thing,6165
David Z.,i love this thank you so much,6168
Hauwa M.,paid lets do this,6172
Modupe F.,it feels like christmas,6175
Sierra F.,wow that was easy,6176
Melanie M.,i cannot believe its a lifetime deal,6180
Robert C.,is anyone doing a weight loss niche?,6181
Blessing L.,all right just signed up!,6182
Joseph G.,what happens after we pay,6186
Joseph G.,just grabbed the mega bundle,6190
Angelica T.,thanks so much i am ready to do this,6215
Felicia G.,just paid looking forward to getting started thanks,6224
Shayla S.,just bought lets do this,6235
Veronica H.,who else is doing the agency method,6239
Breanna L.,im ready to ditch those other tools,6254
Breanna K.,i feel dumb for buying those other softwares,6269
Blessing Q.,finally a business in a box,6291
Kayla B.,paid cant wait to use this!,6293
Jada N.,lets change our lives,6294
Lisa D.,this is like ten courses,6304
Amanda G.,wow crazy value,6307
Samantha R.,paid!!,6344
Lisa W.,thanks so much for this what a great offer,6345
Brianna X.,im excited,6346
Thomas R.,is this real life,6356
Tara L.,i dont even have a business right now,6391
Diamond V.,just upgraded lets do this,6393
Kendra E.,i had no idea instagram was this deep,6395
Dominique Z.,just signed up this is so worth it,6398
Modupe B.,this is going to be the best year ever,6399
Crystal A.,i am ready for this new adventure!!,6400
Alexis M.,paid ready to rock,6417
Stephanie K.,this year is my year,6420
Krystal L.,ive tried everything,6424
Jasmine Q.,ive been wanting to start an agency,6427
Carolyn T.,i can finally travel yay!!!,6432
Brittany L.,yess finally thanks again!!!,6434
Latrice O.,i am sarah lol,6439
Matthew D.,what else will this software work for?,6445
Kirsten J.,wow this looks amazing,6450
Angelica X.,mega bundle let's go!!!,6470
Lakesha E.,ok just upgraded to mega,6480
Michael Y.,he just explained it again ben,6492
Talia Y.,already paid,6495
Fatimah I.,just paid omg,6495
Modupe H.,did i hear him correctly about the money back thing,6500
Modupe A.,paid im stoked now,6504
Toni D.,my wife is gonna love this,6511
Rhonda X.,is it easy to cancel?,6528
Jazmine I.,wow he just said i could clone myself,6547
Stephanie N.,i dont want to miss out on that,6549
Daniel C.,just upgraded and ready to roll!,6578
Olivia M.,just secured mega lets goooo,6597
Modupe F.,the software looks easy enough,6601
Breanna Q.,wow you are a legend ben thanks for all of this,6608
Matthew L.,thank you ben this is the real deal,6618
Ese E.,you made my day man,6619
Joy W.,ive got goosebumps this is so cool,6621
John X.,omg just upgraded,6622
Samantha Z.,paid! this is amazing,6626
Toni Y.,dont miss out guys,6664
Destiny V.,wow i didnt even know there were different algorithms lol,6665
William W.,yeah im done with my job i cant wait,6665
Erica C.,im excited haha thank you!!!,6668
James D.,i just went all in yesss,6672
Kendra D.,ok ben this is insane thank you thank you!,6681
Sierra D.,this is actually legit,6699
Diamond J.,just made the payment,6709
Modupe U.,just went mega yass,6718
Jazmine C.,paid already set up,6722
Destiny J.,just upgraded here we go,6727
Chelsea I.,lets make money and change our lives yayy,6758
David G.,i just maxed my credit card lol,6759
Anthony X.,just signed up lets do this guys,6777
Toni D.,i dont see the chat link,6779
Veronica Z.,mega bundle locked in,6784
Grace H.,time to change my life haha,6796
Crystal M.,yeah it makes all the content guys,6798
Jazmine K.,paid thanks for all the help!!,6800
Rhonda U.,i like how this is meta approved thats cool,6806
James L.,wow ok wow what a deal omg,6809
Diamond S.,lets make money,6816
Sierra R.,just signed up looking forward to it!,6830
Latrice Q.,this is so easy i love it,6847
Latoya V.,just went mega cant wait to dive in,6848
Sierra U.,mega bundle thanks ben,6858
Brittany G.,this is gonna be awesome im so ready,6859
Erica M.,im ready to do this for reals,6879
Haven V.,jennifer its in the chat above hes posting it every few minutes,6881
Alexis L.,so ready to get these clients,6899
Robert R.,youre a lifesaver thanks ben,6905
Melanie F.,this is too good to be true,6907
Brittany G.,time to get out of the rat race,6910
Destiny C.,ready to gooooo,6924
Talia I.,did anyone not get the link,6928
Fatimah V.,who else already had their credit card ready lol,6934
Sierra O.,yes! ready to upgrade my life,6941
Deandra C.,omg a money back guarantee i am in,6944
Melanie Z.,alright im so pumped now,6944
Talia H.,just locked in the mega pack so great,6954
Kierra S.,what if i have no experience?,6961
Lilian T.,just upgraded im pumped,6964
Hauwa Z.,paid!!!,6981
Felicia B.,cant wait to finally see results,6983
Anita P.,okay im sold,6996
Robert E.,wow i was going to buy a course for 5000,7018
Anita J.,paid time to get my business going!,7020
Kierra I.,holy moly,7021
Grace Q.,what should i do first,7037
John F.,wow youve just made our lives easier thank you,7045
Brianna L.,this will finally make me productive haha,7046
Joy E.,ok im in,7059
Michelle P.,amazing just went mega this is too awesome,7059
Diamond F.,ben this seems like a gift lol,7076
Kendra G.,lets print money boys and girls,7102
Shayla Y.,its already better than chat gpt,7109
Erica T.,you all are gonna kill it this year,7109
Talia B.,i cant believe i get all of this for that price,7113
Fatimah O.,its all coming together,7117
Chelsea G.,ok mega bundle lets get it,7122
Joseph Q.,just paid im ready to learn!,7123
Charles X.,the price is insane,7123
Lisa I.,just grabbed the mega bundle,7135
Brandi B.,so what am i doing now after i buy,7138
Anita F.,just signed up this is unreal,7151
Tiffany D.,yall are making me want the mega bundle too hahaha,7154
Joy A.,is there a facebook group?,7154
Angelica B.,finally no more struggling with ads,7157
Chelsea K.,i had to get in before its too late,7161
Kiara Y.,paid yes thank you,7181
Toni P.,where to sign up?,7189
Ashley E.,just joined and ready for a fun new journey!!!,7192
Lilian F.,thanks so much for this i am so happy,7197
Hauwa G.,i cant wait for the training,7200
